CaseUniqueId,CaseNodeId,CaseReference,ApplicationDescription,ApplicationNumber,ApplicationType,ApplicationValidated,LPACode,LPACrossReference,LPAName,PermissionSought,PreApplicationAdviceGiven,Procedure,Status
3326157,53280239,S62A/2023/0021,"Application for the approval of reserved matters for appearance, landscaping, layout and scale for 160 dwellings and a countryside park pursuant to conditions 1 and 2 of outline planning permission UTT/21/3596/OP",S62A/2023/0021,Dwellings numbering 10 or more,No,C1570,UTT/23/1848/PINS,Uttlesford District Council,Approval of reserved matters following outline approval,No,Hearing,Hearing date set
3326935,53448038,S62A/2023/0022,"Partial demolition of the existing Track Transit System and full demolition of 2 no. skylink walkways and the bus-gate building.  Construction of a 3-bay extension to the existing passenger building, baggage handling building, plant enclosure and 3 no. skylink walkways and associated hardstanding.",S62A/2023/0022,Other (Major Development),No,C1570,UTT/23/1970/PINS,Uttlesford District Council,Planning permission,No,Hearing,Decided
3328288,53737478,S62A/2023/0023,Erection of 5 residential dwellings and associated infrastructure,S62A/2023/0023,Dwellings of 0.5 hectare or more,No,C1570,UTT/23/2193/PINS,Uttlesford District Council,Planning permission,No,Hearing,Consultation period open
3329554,54018500,S62A/2023/0024,"Residential led development for ‘build to rent’ accommodation, with wider community facilities within the village centre of Rickling Green. The proposals seek to provide up to 110 dwellings, a recreational facilities and other associated community facilities",S62A/2023/0024,NULL,No,C1570,NULL,Uttlesford District Council,NULL,No,NULL,New
3331210,54383533,S62A/2023/0025,"Outline planning application with all matters reserved except access for up to 28 dwellings (class C3) including public open space, sustainable drainage systems, landscaping and associated infrastructure and development",S62A/2023/0025,Dwellings numbering 10 or more,No,C1570,UTT/23/2616/PINS,Uttlesford District Council,Outline planning permission with some matters reserved,No,Hearing,Consultation period open
3331286,54403436,S62A/2023/0026,Outline application for the erection of up to 40 dwellings with all matters reserved except for access,S62A/2023/0026,Dwellings numbering 10 or more,No,C1570,UTT/23/2622/PINS,Uttlesford District Council,Outline planning permission with some matters reserved,No,Hearing,Decided
3331617,54474698,S62A/2023/0027,"Erection of 40no. dwellings, including open space landscaping and associated infrastructure",S62A/2023/0027,Dwellings numbering 10 or more,No,C1570,UTT/23/2682/PINS,Uttlesford District Council,Planning permission,No,Hearing,Validation
3332644,54724677,S62A/2023/0028,Construction of up to 50 dwellings (Use Class C3) and associated access and bus stops with all matters reserved apart from access.,S62A/2023/0028,Dwellings numbering 10 or more,No,C1570,UTT/23/2810/PINS,Uttlesford District Council,Outline planning permission with some matters reserved,No,Written representations,Consultation period open
3334060,55047106,S62A/2023/0029,Erection of solar tracker and associated landscaping,S62A/2023/0029,Development of a site above 1 hectare,No,C1570,NULL,Uttlesford District Council,Planning permission,No,NULL,Withdrawn
3334582,55156834,S62A/2023/0030,"Outline application with all matters reserved except access for up to 28 dwellings (class C3) including public open space, sustainable drainage systems, landscaping and associated infrastructure.",S62A/2023/0030,Dwellings numbering 10 or more,Yes,C1570,UTT/23/3113/PINS,Uttlesford District Council,Outline planning permission with some matters reserved,No,Hearing,Decided
3334584,55155356,S62A/2023/0031,"The erection of up to 55 dwellings, associated landscaping and open space, with access from Knight Park",S62A/2023/0031,Dwellings numbering 10 or more,No,C1570,UTT/23/3112/PINS,Uttlesford District Council,Outline planning permission with some matters reserved,No,Written representations,Consultation period open
3336795,55621655,S62A/2024/0032,"The demolition of 12 no. existing outbuildings / structures, the conversion and restoration of 8 no. existing buildings to form 8 no. holiday cottages and 1 no. dwelling, the construction of 3 no. single storey dwellings. The creation of a pedestrian and cycle link path at Land To The West Of Mill Lane Hatfield Heath",S62A/2024/0032,Dwellings numbering 10 or more,No,C1570,UTT/24/0103/PINS,Uttlesford District Council,Planning permission,No,Hearing,Hearing date set
3338453,55991839,S62A/2024/0033,"Erection of a Solar Photovoltaic Farm with an output capacity not to exceed 14.9MW of energy, with supporting infrastructure and battery storage, inverters and transformers, fencing and landscaping works",S62A/2024/0033,NULL,No,C1570,UTT/24/0542/PE,Uttlesford District Council,NULL,No,NULL,Pre-Application
3340881,56525542,S62A/2024/0034,"Upgrade the 3rd & 4th floors to comply with building regulations. The alterations to the listed building include upgrading of internal walls, floors, windows and doors. Changes have been proposed to the floor plans to reduce travel distances and a lift has been proposed.

Updated Description - 9 April 2024
A change of use to the 3rd & 4th floor from a hostel to a hotel. The 3rd and 4th floor will be upgraded to comply with building regulations. The alterations to the listed building include the upgrade of walls, floors, windows and doors. Installation of a lift and air con units. As well as layout changes to reduce travel distances.",S62A/2024/0034,Listed building consent to alter/extend,No,Z0116,24/01278/PINS,Bristol City Council,"Planning permission and listed building consent for alterations, extension or demolition of a listed building",No,Written representations,Consultation period open
3341124,56582935,S62A/2024/0035,Proposed erection of residential dwellings on land serving Canfield Moat,S62A/2024/0035,Dwellings of 0.5 hectare or more,No,C1570,NULL,Uttlesford District Council,NULL,No,NULL,NULL
3341246,56607516,S62A/2024/0038,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,No,NULL,NULL
3341247,56606826,S62A/2024/0039,"Change of use to Small HMO

PINS - 'change of use of dwelling to House in Multiple Occupation for up to 6 persons'",S62A/2024/0039,Change of use,No,Z0116,24/01285/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3341452,56658251,S62A/2024/0040,Installation of tensile stretch tent with associated minor hard and soft landscaping works,S62A/2024/0040,Development of a site less than 1 hectare,No,Z0116,24/01308/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3343084,57051113,S62A/2024/0041,"Change of use from a dwellinghouse used by a single person or household (C3a) to a large dwellinghouse in multiple occupation (sui generis) for seven people, including the erection of a rear roof extension, 2no, rooflights and a single storey rear extension.",S62A/2024/0041,Change of use,No,Z0116,24/01621/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
