CaseUniqueId,CaseNodeId,CaseReference,ApplicationDescription,ApplicationNumber,ApplicationType,ApplicationValidated,LPACode,LPACrossReference,LPAName,PermissionSought,PreApplicationAdviceGiven,Procedure,Status
3361740,61359380,S62A/2025/0093,Demolition of existing side extension and lean-to structure and erection of a three-bedroom semi-detached dwelling,S62A/2025/0093,Dwellings numbering between 1 and 9,No,Z0116,25/11073/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3361741,61358613,S62A/2025/0094,"The use of part of the roof area as an outdoor terrace, comprising the provision of a metal canopy frame with retractable sunshade, glass balustrade and acoustic screen along with the provision of biodiverse green roof to part of roof top plant room",S62A/2025/0094,Other (Non-Major Development),Yes,Z0116,25/11125/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3362542,61579215,S62A/2025/0095,"erection of 28 dwellings, including affordable housing and associated infrastructure and public open space, and allotments with access off Wicken Road.",S62A/2025/0095,Dwellings numbering 10 or more,No,C1570,UTT/25/0784/PE,Uttlesford District Council,NULL,No,Written representations,New
3362717,61617805,S62A/2025/0096,Change of use of dwelling to small house in multiple occupation (Use Class C4) with associated cycle parking and refuse/recycling storage,S62A/2025/0096,Change of use,No,Z0116,25/11372/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3362803,61622904,S62A/2025/0097,Change of use from a (C3) residential dwelling to a (C4) small house of multiple occupation,S62A/2025/0097,Change of use,No,Z0116,25/11415/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3363062,61689371,S62A/2025/0098,"Application 1: Outline planning application for residential development providing up to 150 homes (sites A and B) 
Application 2: Outline planning application for residential development providing up to 150 homes (sites D and E)
Application 3: Outline planning application for residential development providing up to 125 homes and commercial  development providing c. 4.5ha of employment floorspace (site G)
Application 4: Full planning application for residential development providing c.35homes (site F)",S62A/2025/0098,Dwellings numbering 10 or more,No,C1570,NULL,Uttlesford District Council,NULL,No,Written representations,Pre-Application
3363190,61727890,S62A/2025/0099,The installation and operation of an underground high voltage electrical cable and associated works required to connect Cutlers Solar Farm to the national grid,S62A/2025/0099,Other (Major Development),No,C1570,NULL,Uttlesford District Council,Planning permission,No,NULL,Withdrawn
3364167,61960454,S62A/2025/0100,"Residential development comprising 58 dwellings (of which 50% will be affordable dwellings), with public open space incorporating a trim trail, and associated infrastructure.",S62A/2025/0100,Dwellings numbering 10 or more,No,C1570,UTT/25/1118/PE,Uttlesford District Council,NULL,No,Written representations,Pre-Application
3364272,61988727,S62A/2025/0101,"Change of use from three residential flats (use class C3) to a 12 bedroom extension to an existing nursing home (use class C2), including demolition and replacement of rear extension and external alterations.",S62A/2025/0101,Change of use,No,Z0116,25/11876/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3364562,62035360,S62A/2025/0102,"Change of use of existing maisonettes into single House in Multiple Occupation (HMO) containing 10no. bedrooms (sui generis), with associated bin and bike storage.",S62A/2025/0102,Change of use,No,Z0116,25/11956/PINS,Bristol City Council,Planning permission,No,Written representations,Decided
3364586,62031925,S62A/2025/0103,Change of use of vacant pre-school back to single 2bed flat,S62A/2025/0103,Change of use,No,Z0116,25/11957/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3364589,62049112,S62A/2025/0104,"Change of use from a dwellinghouse used by a single person or household (Use Class C3a) to a small
dwellinghouse in multiple occupation (Use Class C4), including the erection of a cycle store",S62A/2025/0104,Change of use,No,Z0116,25/11987/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3365002,62132889,S62A/2025/0105,"Partial demolition of boundary wall, altered access and construction of a two storey 5-bedroom Use Class C4 small house in multiple occupation.",S62A/2025/0105,Dwellings numbering between 1 and 9,No,Z0116,25/12081/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3365009,62132629,S62A/2025/0106,"Demolition of boundary wall and construction of a two storey Use Class C4 small house in multiple occupation with associated provision of amenity space, refuse and cycle storage.",S62A/2025/0106,Dwellings numbering between 1 and 9,No,Z0116, 25/12110/PINS,Bristol City Council,Planning permission,No,Written representations,Decided
3365517,62245304,S62A/2025/0107,Erection of 75no. dwellings with associated infrastructure and landscaping. Provision of playing fields and associated clubhouse.,S62A/2025/0107,Dwellings numbering 10 or more,No,C1570,UTT/25/1343/PINS,Uttlesford District Council,Planning permission,No,Hearing,Consultation period open
3365940,62338213,S62A/2025/0108,First-floor extension to rear of shop and creation of dwelling (Use Class C3) with associated works.,S62A/2025/0108,Dwellings numbering between 1 and 9,No,Z0116,25/12280/PINS,Bristol City Council,Planning permission,No,Written representations,Decided
3366773,62502509,S62A/2025/0109,"Change of use from 2no. self-contained flats used by a single person or household (Use Class C3a) to 2no. small dwellinghouses in multiple occupation (Use Class C4), including the erection of a cycle and refuse/recycling stores.",S62A/2025/0109,Change of use,No,Z0116,25/12462/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3367512,62667044,S62A/2025/0110,"Change of ground floor from Class E to 1no. residential flat, including removal of shopfront, partial demolition of rear extension, and erection of a ground floor rear extension",S62A/2025/0110,Change of use,No,Z0116,25/12705/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3367902,62759342,S62A/2025/0111,Demolition of the rear annexe and delivery of 4 mews houses for short-term let with associated landscaping and other works.,S62A/2025/0111,Other (Non-Major Development),No,Z0116,25/12838/PINS,Bristol City Council,Planning permission,No,Written representations,Decided
3369181,63074771,S62A/2025/0112,"Demolition of existing buildings, on site, and the erection of a three storey building comprising 6no flats and 3no terraced dwellinghouses",S62A/2025/0112,Dwellings numbering between 1 and 9,No,Z0116,25/13171/PINS ,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3369242,63090056,S62A/2025/0113,"Conversion of existing care home (Use Class C2) to provide two separate, large Sui Generis HMO’s (1no. 9
bedroom and 1no. 10 bedroom) together with associated external alterations to the building",S62A/2025/0113,Change of use,No,Z0116,25/13176/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3369640,63172228,S62A/2025/0114,Erection of a detached bungalow in rear garden,S62A/2025/0114,Dwellings numbering between 1 and 9,No,Z0116,25/13332/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3370226,63299694,S62A/2025/0115,Demolition of the rear extensions and construction of a large HMO (Sui Generis). Change of use of remaining ground floor unit from public house to a commercial unit (Use Class E).,S62A/2025/0115,Change of use,No,Z0116,25/13462/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3370385,63336577,S62A/2025/0116,"Change of use of betting shop (Sui Generis), and external alterations to create 1no. residential flat (use class C3)",S62A/2025/0116,Dwellings numbering between 1 and 9,No,Z0116,25/13538/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3370418,63346283,S62A/2025/0117,"Change of use of betting shop (Sui Generis), roof alterations, extension and external alterations to create 2 no. additional flats (use class C3) together with the internal reconfiguration of the existing first floor flat.",S62A/2025/0117,Dwellings numbering between 1 and 9,No,Z0116,25/13544/PINS ,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3370511,63357980,S62A/2025/0118,Change of use from office to provide 20 no. purpose-built student units and associated works. ,S62A/2025/0118,Change of use,No,Z0116,25/13554/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3371324,63513649,S62A/2025/0119,Erection of a rear extension and internal alterations to facilitate the change of use of the property from an 8-bedroom House in Multiple Occupation (HMO) to a 9-bedroom House in Multiple Occupation (HMO) (Use Class Sui Generis),S62A/2025/0119,Change of use,No,Z0116,25/13718/PIN,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3372002,63645447,S62A/2025/0120,"Full planning application for the conversion of upper floors of existing buildings (bank and ancillary
office space (Use Class E(c(i)) to provide 9 no. self-contained flats, including refuse, recycling and cycle
storage at ground floor level, partial demolition to rear ground floor level, first floor rear extension, removal
of hipped roof to rear extension, and erection of a mansard roof extension. Sub-division of existing
commercial unit at ground floor level to create 2no. commercial units, and installation of replacement
shopfronts",S62A/2025/0120,Change of use,No,Z0116,25/13864/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3372455,63711532,S62A/2025/0121,"Erection of a single dwelling (C3) with associated parking cycle storage, bin storage and gardens.",S62A/2025/0121,Change of use,No,Z0116,25/13928/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3372727,63774585,S62A/2025/0122,A change of use from an office use (Use Class E.G.i) to an office (Use Class E.G.i) or educational use (Use Class F.1) using Class V of Part 3 of Schedule 2 of The Town and Country Planning (General Permitted Development) (England) Order 2015.,S62A/2025/0122,Change of use,No,Z0116,25/13997/PINS,Bristol City Council,Planning permission,No,NULL,Withdrawn
3372814,63797785,S62A/2025/0123,Erection of a detached dwellinghouse,S62A/2025/0123,Dwellings numbering between 1 and 9,No,Z0116,25/14029/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3373019,63843192,S62A/2025/0124,"Change of use of ground commercial unit to 2no. self-contained flats, including reconfiguration of ground floor
front elevation fenestration, and refuse/recycling and cycle storage",S62A/2025/0124,Change of use,No,Z0116,NULL,Bristol City Council,Planning permission,No,NULL,Withdrawn
3373031,63843889,S62A/2025/0125,"Change of use from a dwellinghouse occupied by people to be regarded as forming a single household (Use
Class C3a) to a small dwellinghouse in multiple occupation for 3-6 people (Use Class C4), including the
erection of a cycle and refuse/recycling stores",S62A/2025/0125,Change of use,No,Z0116,25/14098/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3373065,63841099,S62A/2025/0126,"Demolition of buildings and clearance of site, redevelopment with a retained 4-bed HMO and 4no. Use class flats in a 3-storey building. Altered access and provision of refuse and cycle storage.",S62A/2025/0126,Relevant demolition,No,Z0116,25/14113/PINS,Bristol City Council,"Planning permission and listed building consent for alterations, extension or demolition of a listed building",No,Written representations,Decided
3373422,63924674,S62A/2025/0127,Proposed 5No class B2 general industrial units,S62A/2025/0127,Development of a site less than 1 hectare,No,Z0116,25/14242/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3373427,63926823,S62A/2025/0128,NULL,S62A/2025/0128,NULL,No,NULL,NULL,NULL,NULL,No,NULL,NULL
3373769,63987613,S62A/2025/0129,Conversion of top floor flat into a House in Multiple Occupation (Use Class C4) with rear roof extension and associated works.,S62A/2025/0129,Change of use,No,Z0116,25/14342/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3374024,64046274,S62A/2025/0130,"Erection of a second-floor extension to the above property, and the change of use to 5no.small
houses in multiple occupation (Use Class C4); including creation of ancillary storage area.",S62A/2025/0130,Development of a site less than 1 hectare,No,Z0116,25/14447/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3374574,64180342,S62A/2025/0131,This proposal is to seek outline planning permission to make use of this underutilised site by creating a 1 bed 2 person dwelling house in a desirable area.,S62A/2025/0131,Dwellings numbering between 1 and 9,No,Z0116,25/14593/PINS,Bristol City Council,Outline planning permission with all matters reserved,No,Written representations,Application being assessed
3374612,64192138,S62A/2025/0132,Works to install 9 no. floodlight columns around the MUGA and AW pitches at Cotham School with associated planting and works.,S62A/2025/0132,Other (Non-Major Development),No,Z0116,25/14638/PINS,Bristol City Council,Planning permission,No,Written representations,Validation
3374641,64199315,S62A/2025/0133,Works to install 8no. CCTV poles and cameras,S62A/2025/0133,Other (Non-Major Development),No,Z0116,25/14649/PINS,Bristol City Council,Planning permission,No,Written representations,Decided
3374771,64238131,S62A/2025/0134,Demolition of the rear annexe and delivery of 4 terrace PBSA houses with associated landscaping and other works,S62A/2025/0134,Other (Non-Major Development),No,Z0116,25/14748/PINS,Bristol City Council,Planning permission,No,Written representations,Decision awaited - Post hearing
3374821,64244897,S62A/2025/0135,"Demolition of existing buildings on site and the erection of a three storey building comprising 6no flats, and 3no. Terraced dwellinghouses.",S62A/2025/0135,Dwellings numbering between 1 and 9,No,Z0116,25/14765/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3374895,64264576,S62A/2025/0136,"Erection of a first floor side extension to existing first floor flat. Partial demolition of rear extensions, to facilitate the change of use of part of the ground floor to a takeaway (sui generis), and part of the ground and first floors to a small HMO (C4 Use Class), including a new extract flue for takeaway (resubmission of planning application 24/03459/F).",S62A/2025/0136,Other (Non-Major Development),No,Z0116,25/14769/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3375423,64396048,S62A/2025/0137,"Partial change of use of Class E commercial unit to a Class C1 Apart-Hotel with 9no. serviced apartments, demolition of rear extension, replacement extension, external alterations and provision of refuse and cycle storage.",S62A/2025/0137,Change of use,No,Z0116,25/14937/PINS,Bristol City Council,Planning permission,No,Written representations,Decided
3375478,64409332,S62A/2025/0138,"Change of use from a dwellinghouse used by a single person or household (Use Class C3a) to a small dwellinghouse in multiple occupation (Use Class C4), including the erection of a cycle and refuse/recycling stores",S62A/2025/0138,Change of use,No,Z0116,25/14959/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3375640,64450979,S62A/2025/0139,"Part demolition and re-building and erection of a second floor extension, to provide 8no. self-contained flats",S62A/2025/0139,Dwellings numbering between 1 and 9,No,Z0116,25/14981/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3376036,64547079,S62A/2025/0140,Demolition of the rear extensions and construction of a large HMO (Sui Generis). Change of use of the remaining ground floor unit from Public House to a commercial unit(Use Class E),S62A/2025/0140,Other (Non-Major Development),No,Z0116,25/15167/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3376150,64575130,S62A/2025/0141,Change of use on ground floor from retail to 1 no. apartment,S62A/2025/0141,Change of use,No,Z0116,25/15180/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3376198,64594131,S62A/2025/0142,"Erection of a first floor extension, ground floor rear extension and internal alterations to facilitate the change of use of the property from a 5-bedroom House in Multiple Occupation (HMO) to a 8- bedroom House in Multiple Occupation (HMO) (Use Class Sui Generis)",S62A/2025/0142,Change of use,No,Z0116,25/15234/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3376225,64603752,S62A/2025/0143,Erection of a detached dwellinghouse ,S62A/2025/0143,Other (Non-Major Development),No,Z0116, 25/15245/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3376610,64696447,S62A/2025/0144,"Change of use - Conversion of part of existing domestic garage (use class c3) to maintenance office base (use class E(G)), Including retention of existing-cycle store and associated external alterations.",S62A/2025/0144,Change of use,No,Z0116,25/15450/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3376737,64741642,S62A/2025/0145,Change of use of existing small house in multiple occupation (use class C4) to a large house in multiple occupation for up to 8no occupants (sui generis) with associated cycle storage. ,S62A/2025/0145,Change of use,No,Z0116,25/15507/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3376738,64740399,S62A/2025/0146,"Change of use of existing small house in multiple application (use class C4) to a large house in multiple occupation for up to 8no occupants (sui generis), with associated cycle storage. ",S62A/2025/0146,Change of use,No,Z0116,NULL,Bristol City Council,Planning permission,No,NULL,NULL
3376849,64784160,S62A/2025/0147,Erection of a two-storey building comprising 2no. self-contained flats,S62A/2025/0147,Other (Non-Major Development),No,Z0116,25/15560/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3376904,64797778,S62A/2025/0148,"External alterations to ground floor entrance area, including the installation of a new shopfront and timber hand rails, and the raising of floor levels",S62A/2025/0148,Other (Non-Major Development),No,Z0116,25/15620/PINS,Bristol City Council,Planning permission,No,Written representations,New
3377086,64834926,S62A/2025/0149,"Rear extension and change of use from takeaway (sui generis) to bar with seating area, office and small kitchen (sui generis).",S62A/2025/0149,Change of use,No,Z0116, 25/15627/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3377096,64839260,S62A/2025/0150,"Erection of a second floor roof extension, demolition and rebuilding of a single storey rear extension, and change of use of upper floors and part of ground floor from ancillary commercial space to a large 8-bed HMO. New shopfronts to retained ground floor commercial units. ",S62A/2025/0150,Other (Non-Major Development),Yes,Z0116,26/10006/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3377128,64848865,S62A/2025/0151,Attached two storey house,S62A/2025/0151,Dwellings numbering between 1 and 9,No,Z0116,26/10034/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3377230,64905139,S62A/2026/0152,"Change of use from Use Class C3 two flats to Class C4 two small houses of multiple occupation (1 x five bed and 1 x 3 bed), with associated provision for car parking, refuse, and cycle storage.",S62A/2026/0152,Change of use,No,Z0116,26/10124/PINS,Bristol City Council,Planning permission,No,NULL,Validation
3377521,65006133,S62A/2026/0153,"Proposed change of use from a school (Use Class F1(a)) to seven flats and a self-contained dwelling (Use Class C3) with associated alterations, altered access, car parking, refuse and cycle storage.",S62A/2026/0153,Change of use,No,Z0116,NULL,Bristol City Council,Planning permission,No,NULL,Declined to determine
3378824,65783528,S62A/2026/0154,"Redevelopment of former horticultural nursery for residential development along with along with landscaping, drainage, access, parking and other associated infrastructure.",S62A/2026/0154,Dwellings numbering 10 or more,No,J1535,NULL,Epping Forest District Council,Planning permission,No,NULL,Pre-Application
3378852,65813466,S62A/2026/0155,"Outline planning application for the erection of up to 125 residential dwellings (50% affordable) with vehicular access off Stonards Hill, pedestrian and cyclist access off Stonards Hill, Kendal Avenue and Hartland Road, provision of public open space with associated landscape planting, associated infrastructure, drainage measures, earthworks and all other associated works, (outline application with all matters reserved except access into the site).
The site extends to some 13.85 hectares and development areas are proposed on approximately 2.5 hectares adjacent to the settlement boundary of Epping. The vast majority of the site will be accessible open space with pedestrian and cycle pathways through the site enabling access to Epping Underground station.",S62A/2026/0155,Other (Major Development),No,J1535,NULL,Epping Forest District Council,Planning permission,No,NULL,Pre-Application
