CaseUniqueId,CaseNodeId,CaseReference,Name,caseCategory
3347363,58009481,S62A/2024/0051,"S62A/2024/0051/Land West of Thaxted Road, Saffron Walden",NULL
3347426,58022819,S62A/2024/0052,"S62A/2024/0052/(pre-app) Land East of Harrisons Lane, Ringmer, Lewes",pre-app
3347485,58036703,S62A/2024/0053,"S62A/2024/0053/Building 11, Explore Lane, Bristol, BS1 5TY",NULL
3347751,58090825,S62A/2024/0054,"S62A/2024/0054/38 Briar Road, St. Albans, AL4 9TL",NULL
3347982,58145337,S62A/2024/0055,"S62A/2024/0055/Vintry House (Sixth Floor), 20-32 Wine Street, Bristol, BS1 2BD",NULL
3348339,58221735,S62A/2024/0056,"S62A/2024/0056/1 Repton Road, Brislington, Bristol, BS4 3LS",NULL
3348598,58278364,S62A/2024/0057,"S62A/2024/0057/Former Friends School Field, Mount Pleasant Lane, Saffron Walden, CB11 3EB",NULL
3349259,58416908,S62A/2024/0058,"S62A/2024/0058/Land adjacent to Village Hall, East of Cambridge Road, Ugley, Bishops Stortford, Hertfordshire",NULL
3350786,58755851,S62A/2024/0059,"S62A/2024/0059/MFG Redland Service Station, Hampton Road, Redland, Bristol, BS6 6JA",NULL
3351146,58828961,S62A/2024/0060,"S62A/2024/0060/22 and 24 St.Annes Road, London Colney, St. Albans, Herts, AL2 1LJ",NULL
3351641,58938529,S62A/2024/0061,"S62A/2024/0061/59 Langton Road, Brislington, Bristol, BS4 4ER",NULL
3352232,59081192,S62A/2024/0062,"S62A/2024/0062/Unit H, Eastgate Retail Park, Eastgate Road, Bristol, BS5 6XX",NULL
3352726,59179698,S62A/2024/0063,"S62A/2024/0063/Cotham School, Cotham Lawn Road, Cotham, Bristol, BS6 6DT",NULL
3352831,59217545,S62A/2024/0064,"S62A/2024/0064/87 Queenshill Road, Bristol, BS4 2XQ",NULL
3353379,59351210,S62A/2024/0065,"S62A/2024/0065/Redcliff Quay, 120 Redcliff Street, Redcliff, Bristol, BS1 6HU",NULL
3353400,59357920,S62A/2024/0066,"S62A/2024/0066/10 Rylestone Grove, Bristol, BS9 3UT",NULL
3353561,0,S62A/2024/0067,NULL,NULL
3353562,0,S62A/2024/0068,NULL,NULL
3353576,59393215,S62A/2024/0069,"S62A/2024/0069/20 Whiteladies Road, Bristol, BS8 2LG",NULL
3354625,59654772,S62A/2024/0070,"S62A/2024/0070/David Lloyd, Greystoke Avenue, Southmead, Bristol City, BS10 6AZ",NULL
3354954,59734769,S62A/2024/0071,"S62A/2024/0071/23 Hillsborough Road, Bristol, BS4 3QW",NULL
3354970,59737373,S62A/2024/0072,"S62A/2024/0072/8 Druid Stoke Avenue, Bristol, BS9 1DD",NULL
3356346,60055854,S62A/2024/0073,"S62A/2024/0073/Redcliff Quay, 120 Redcliff Street, Redcliffe, Bristol BS1 6HU",NULL
3357271,60267979,S62A/2024/0074,"S62A/2024/0074/(pre-app) Former St John's School, Firle Road, Seaford, BN25 2HU",pre-app
3357844,60418105,S62A/2024/0075,"S62A/2024/0075/Land North of Thaxted Road, Saffron Walden",NULL
3358488,60575261,S62A/2025/0076,"S62A/2025/0076/Land at Colne Spring Villa, Colney Heath, St Albans, AL4 0PB",NULL
3358911,60670811,S62A/2025/0077,"S62A/2025/0077/Land west of High Street, Stebbing",NULL
3359892,60912700,S62A/2025/0078,"S62A/2025/0078/65 Lodge Causeway, Fishponds, Bristol, BS16 3JA",NULL
3359924,60920269,S62A/2025/0079,"S62A/2025/0079/515-517 Stockwood Road, Brislington, Bristol City, Bristol, BS4 5LR",NULL
3360113,60971760,S62A/2025/0080,"S62A/2025/0080/17 Clarendon Road, Bristol, BS6 7EX",NULL
3360292,61010473,S62A/2025/0081,"S62A/2025/0081/14 Marlborough Street, Bristol, BS5 6RH",NULL
3360299,61009201,S62A/2025/0082,"S62A/2025/0082/Bull Inn, 333 Crews Hole Road, Bristol, BS5 8BQ",NULL
3360374,61025737,S62A/2025/0083,"S62A/2025/0083/(pre-app) Land East of Lower Road, Little Hallingbury, CM22 7QZ",pre-app
3360501,61058539,S62A/2025/0084,"S62A/2025/0084/37 Sandholme Road, Brislington, Bristol, BS4 3RP",NULL
3360671,61099991,S62A/2025/0085,"S62A/2025/0085/1-3 High Street, Bristol, BS9 3DR",NULL
3360801,61126851,S62A/2025/0086,"S62A/2025/0086/(pre-app) Land east of St Edmunds Lane, Great Dunmow",pre-app
3361110,61205830,S62A/2025/0087,"S62A/2025/0087/Land between 84 and 108 Ragged Hall Lane, Chiswell Green, St Albans",NULL
3361117,61207413,S62A/2025/0088,"S62A/2025/0088/7 Redcatch Road, Bristol, BS4 2EP",NULL
3361296,61248526,S62A/2025/0089,"S62A/2025/0089/265-267 Church Road, Bristol, BS5 9HU",NULL
3361506,61294696,S62A/2025/0090,"S62A/2025/0090/2 Merton Road, Bristol, BS7 8TL",NULL
3361514,61295483,S62A/2025/0091,"S62A/2025/0091/265-267 Church Road, Bristol, BS5 9HT",NULL
3361610,61324081,S62A/2025/0092,"S62A/2025/0092/10 Melvin Square, Knowle, Bristol City, Bristol, BS4 1LZ",NULL
3361740,61359380,S62A/2025/0093,"S62A/2025/0093/43a (Land adjacent To 43) Ambleside Avenue, Bristol",NULL
3361741,61358613,S62A/2025/0094,"S62A/2025/0094/Building 11, Explore Lane, Bristol, BS1 5TY",NULL
3362542,61579215,S62A/2025/0095,"S62A/2025/0095/(pre-app) Land at Hill Green Farm, Clavering",pre-app
3362717,61617805,S62A/2025/0096,"S62A/2025/0096/399 Filton Avenue, Bristol, BS7 0LH",NULL
3362803,61622904,S62A/2025/0097,"S62A/2025/0097/ 7 Bellevue Cottages, Clifton, Bristol, BS8 4TG",NULL
3363062,61689371,S62A/2025/0098,S62A/2025/0098/(pre-app) Various sites in Birchanger & Stansted Mountfitchet,pre-app
3363190,61727890,S62A/2025/0099,S62A/2025/0099/Land located between Thaxted substation and The Cutlers Solar Farm site,NULL
3364167,61960454,S62A/2025/0100,"S62A/2025/0100/(pre-app) - Land to the east of Cox Ley, Hatfield Heath, Essex",pre-app
3364272,61988727,S62A/2025/0101,"S62A/2025/0101/No.7 Belvedere Road, Westbury Park, Bristol, BS6 7JG",NULL
3364562,62035360,S62A/2025/0102,"S62A/2025/0102/87A Redland Road, Redland, Bristol, BS6 6RD",NULL
3364586,62031925,S62A/2025/0103,"S62A/2025/0103/Ground Floor Flat, 6 Gordon Road, Clifton, Bristol, BS8 1AP",NULL
3364589,62049112,S62A/2025/0104,"S62A/2025/0104/4 The Mont, St Andrew's Road, Bristol BS6 5ED",NULL
3365002,62132889,S62A/2025/0105,"S62A/2025/0105/Land to the Rear of 9 Priory Road, Clifton, Bristol, BS8 1PY",NULL
3365009,62132629,S62A/2025/0106,"S62A/2025/0106/Land to the Rear of 6 Tyndalls Park Road, Cotham, Bristol, BS8 1PY",NULL
3365517,62245304,S62A/2025/0107,"S62A/2025/0107/Former Friends School Field, Mount Pleasant Road, Saffron Walden, CB11 3EB",NULL
3365940,62338213,S62A/2025/0108,"S62A/2025/0108/11-13 High Street, Westbury, Bristol City, Bristol BS9 3BF",NULL
3366773,62502509,S62A/2025/0109,"S62A/2025/0109/237/237A Gloucester Road, Bristol, BS7 8NX",NULL
3367512,62667044,S62A/2025/0110,"S62A/2025/0110/7 Redcatch Road, Bristol, BS4 2EP",NULL
3367902,62759342,S62A/2025/0111,"S62A/2025/0111/11-13 Whiteladies Road, Clifton, Bristol, BS8 1PB",NULL
3369181,63074771,S62A/2025/0112,"S62A/2025/0112/66 Church Road, Bristol, BS5 9JY",NULL
3369242,63090056,S62A/2025/0113,"S62A/2025/0113/Chasefield House, 888 Fishponds Road, Bristol BS16 3XB",NULL
3369640,63172228,S62A/2025/0114,"S62A/2025/0114/87 Queenshill Road, Bristol, BS4 2XQ",NULL
3370226,63299694,S62A/2025/0115,"S62A/2025/0115/110-112 The Assembly, East Street, Bedminster, Bristol, BS3 4EY",NULL
3370385,63336577,S62A/2025/0116,"S62A/2025/0116/144 Whitehall Road, Bristol, BS5 9BP",NULL
3370418,63346283,S62A/2025/0117,"S62A/2025/0117/144 Whitehall Road, Bristol, BS5 9BP",NULL
3370511,63357980,S62A/2025/0118,"S62A/2025/0118/11-13 Whiteladies Road, Bristol, BS8 1PB",NULL
3371324,63513649,S62A/2025/0119,"S62A/2025/0119/23 Hillsborough Road, Brislington, Bristol, BS4 3QW",NULL
3372002,63645447,S62A/2025/0120,"S62A/2025/0120/286-292 Wells Road, Bristol, BS4 2PU",NULL
3372455,63711532,S62A/2025/0121,"S62A/2025/0121/land to the rear of No 61 Cotmans Walk, Lockleaze, Bristol",NULL
3372727,63774585,S62A/2025/0122,"S62A/2025/0122/Unit 7 Newbridge Trading Estate, Newbridge Close, St. Anne's, Bristol, BS4 4AX",NULL
3372814,63797785,S62A/2025/0123,"S62A/2025/0123/13 Risdale Road, Ashton, Bristol, BS3 2QU",NULL
3373019,63843192,S62A/2025/0124,"S62A/2025/0124/1-3 High Street, Bristol BS9 3DR",NULL
3373031,63843889,S62A/2025/0125,"S62A/2025/0125/16 Elmgrove Road, Bristol, BS16 2AX",NULL
3373065,63841099,S62A/2025/0126,"S62A/2025/0126/2-5 Highland Square, Clifton, Bristol, BS8 2YB",NULL
3373422,63924674,S62A/2025/0127,"S62A/2025/0127/6-8 Emery Road,  Brislington, Bristol BS4 5PF",NULL
3373427,63926823,S62A/2025/0128,"S62A/2025/0128/6-8 Emery Road,  Brislington, Bristol BS4 5PF",NULL
3373769,63987613,S62A/2025/0129,"S62A/2025/0129/Second Floor Flat, 224 Bath Road, Bristol, BS4 3EQ",NULL
3374024,64046274,S62A/2025/0130,"S62A/2025/0130/2 Merton Drive, Bristol, BS7 8TL",NULL
3374574,64180342,S62A/2025/0131,"S62A/2025/0131/Land on South West side of Strathmore Road, Horfield, Bristol, BS7 9QQ - adjacent to No.13",NULL
3374612,64192138,S62A/2025/0132,"S62A/2025/0132/Cotham School, Cotham Lawn Road, Bristol, BS6 6TD",NULL
3374641,64199315,S62A/2025/0133,"S62A/2025/0133/Stoke Lodge Playing Fields, West Dene, Shirehampton, Bristol, BS9 2BH",NULL
3374771,64238131,S62A/2025/0134,"S62A/2025/0134/11-13 Whiteladies Road, Bristol, BS8 1PB",NULL
