CaseUniqueId,CaseNodeId,ProposalDescription,SiteAddress,SitePostcode,SiteEasting,SiteNorthing,SiteVisibleFromPublicLand,SiteArea,SiteAreaUnitMeasurement,TotalExistingResidentialUnits,TotalProposedResidentialUnits,NetResidentialUnitChange,NetAdditionalFloorspaceSqM,NonResExistingFloorspaceSqM,NonResFloorspaceLostSqM,NonResFloorspaceProposedSqM,NonResNetFloorspaceSqM,ActivitiesProcessesDescription,IsWasteDevelopment,WasteType,WasteMaxThroughputType,VoidCapacityCubicMetres,LiquidWasteMaxAnnualThroughput,ParkingGroupID,ParkingVehicleType,ParkingExistingSpaces,ParkingProposedSpaces,ParkingSpaceDifference,NonResGroupID,UseClass,FloorspaceChange,ExistingFloorspaceSqM,FloorspaceLostSqM,FloorspaceProposedSqM,ExistingHousingGroupID,ExistingHousingOccupancyType,ExistingHousingUnitType,ExistingHousing1BedCount,ExistingHousing2BedCount,ExistingHousing3BedCount,ExistingHousing4PlusBedCount,ExistingHousingUnknownBedCount,ExistingHousingTotalUnits,ProposedHousingGroupID,ProposedHousingUnitType,ProposedHousingOccupancyType,ProposedHousing1BedCount,ProposedHousing2BedCount,ProposedHousing3BedCount,ProposedHousing4PlusBedCount,ProposedHousingUnknownBedCount,ProposedHousingTotalUnits
3307113,49206759,NULL,"Land East of Pelham substation, Maggots End Manuden",NULL,547257,228104,NULL,76.39,Hectares,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3308111,49419637,NULL,"Land East of Station Road, Elsenham",NULL,NULL,NULL,NULL,11.12,NULL,0,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,Cars,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,3,Social Rented,Houses,NULL,NULL,NULL,NULL,40,40,2,Houses,Market Housing,NULL,NULL,NULL,NULL,120,120
3308111,49419637,NULL,"Land East of Station Road, Elsenham",NULL,NULL,NULL,NULL,11.12,NULL,0,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,Cycle Spaces,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,3,Social Rented,Houses,NULL,NULL,NULL,NULL,40,40,2,Houses,Market Housing,NULL,NULL,NULL,NULL,120,120
3308111,49419637,NULL,"Land East of Station Road, Elsenham",NULL,NULL,NULL,NULL,11.12,NULL,0,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,Cycle Spaces,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,4,Social Rented,Flats and Maisonettes,NULL,NULL,NULL,NULL,16,16,2,Houses,Market Housing,NULL,NULL,NULL,NULL,120,120
3308111,49419637,NULL,"Land East of Station Road, Elsenham",NULL,NULL,NULL,NULL,11.12,NULL,0,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,Cars,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,4,Social Rented,Flats and Maisonettes,NULL,NULL,NULL,NULL,16,16,2,Houses,Market Housing,NULL,NULL,NULL,NULL,120,120
3308111,49419637,NULL,"Land East of Station Road, Elsenham",NULL,NULL,NULL,NULL,11.12,NULL,0,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,Cars,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,5,Intermediate,Houses,NULL,NULL,NULL,NULL,24,24,2,Houses,Market Housing,NULL,NULL,NULL,NULL,120,120
3308111,49419637,NULL,"Land East of Station Road, Elsenham",NULL,NULL,NULL,NULL,11.12,NULL,0,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,Cycle Spaces,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,5,Intermediate,Houses,NULL,NULL,NULL,NULL,24,24,2,Houses,Market Housing,NULL,NULL,NULL,NULL,120,120
3308658,49521922,NULL,"Land at Cox Ley, Hatfield Heath, Bishop’s Stortford",CM22 7ER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3312130,50231527,NULL,"Land west of Thaxted Road, Saffron Walden",NULL,NULL,NULL,Yes,8.35,NULL,0,170,170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3315672,51013116,NULL,"Grange Paddock
Ickleton Road
Elmdon
Essex
",CB11 4GR,546584,239899,NULL,2.26,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,Houses,Market Housing,NULL,3,6,9,NULL,18
